frase_limpa,classe,fonte,frase
um serviço de primeiríssima qualidade na palma da mão,Positiva,Gemini,Um serviço de primeiríssima qualidade na palma da mão.
melhor app de finanças pessoais disponível nas lojas atualmente,Positiva,Claude,Melhor app de finanças pessoais disponível nas lojas atualmente.
gostei muito da qualidade e organização do app,Positiva,ChatGPT,Gostei muito da qualidade e organização do app.
não há transparência sobre os valores cobrados nas assinaturas,Negativa,Gemini,Não há transparência sobre os valores cobrados nas assinaturas.
a experiência de uso é cansativa e frustrante,Negativa,ChatGPT,A experiência de uso é cansativa e frustrante.
o feed principal só mostra anúncios conteúdo real é escasso,Negativa,Claude,"O feed principal só mostra anúncios, conteúdo real é escasso."
aplicativo que me ajudou a criar hábitos saudáveis de verdade,Positiva,Claude,Aplicativo que me ajudou a criar hábitos saudáveis de verdade.
o aplicativo ocupa muito espaço de armazenamento interno,Negativa,Gemini,O aplicativo ocupa muito espaço de armazenamento interno.
aplicativos móveis podem utilizar widgets,Neutra,ChatGPT,Aplicativos móveis podem utilizar widgets.
aplicativo completo e muito fácil de navegar,Positiva,ChatGPT,Aplicativo completo e muito fácil de navegar.
demora muito para sincronizar os dados na nuvem,Negativa,Gemini,Demora muito para sincronizar os dados na nuvem.
notificações de segurança imediatas me deixam sempre tranquilo,Positiva,Claude,Notificações de segurança imediatas me deixam sempre tranquilo.
notificações push são mensagens enviadas pelo aplicativo ao dispositivo do usuário,Neutra,Claude,Notificações push são mensagens enviadas pelo aplicativo ao dispositivo do usuário.
recursos premium acessíveis com preço justo pelo valor entregue,Positiva,Claude,Recursos premium acessíveis com preço justo pelo valor entregue.
o sofascore é um aplicativo de placar ao vivo popular no brasil,Neutra,Claude,O Sofascore é um aplicativo de placar ao vivo popular no Brasil.
exportação de dados completa e em formato aberto e acessível,Positiva,Claude,Exportação de dados completa e em formato aberto e acessível.
ótima experiência de onboarding aprendi tudo rápido e naturalmente,Positiva,Claude,"Ótima experiência de onboarding, aprendi tudo rápido e naturalmente."
o histórico de pedidos desaparece após cada atualização,Negativa,Claude,O histórico de pedidos desaparece após cada atualização.
aplicativos de transporte calculam distância percorrida,Neutra,ChatGPT,Aplicativos de transporte calculam distância percorrida.
aplicativo muito completo e funcional para qualquer usuário,Positiva,ChatGPT,Aplicativo muito completo e funcional para qualquer usuário.
a confirmação de agendamento nunca chega por email ou sms,Negativa,Claude,A confirmação de agendamento nunca chega por e-mail ou SMS.
o kindle é um aplicativo de leitura desenvolvido pela amazon,Neutra,Claude,O Kindle é um aplicativo de leitura desenvolvido pela Amazon.
excelente aplicativo fácil de usar e muito prático,Positiva,ChatGPT,"Excelente aplicativo, fácil de usar e muito prático."
aplicativos de telemedicina permitem consultas médicas por videochamada,Neutra,Claude,Aplicativos de telemedicina permitem consultas médicas por videochamada.
aplicativo rápido estável e muito fácil de usar,Positiva,ChatGPT,"Aplicativo rápido, estável e muito fácil de usar."
a versão gratuita é maravilhosa e sem propagandas abusivas,Positiva,Gemini,A versão gratuita é maravilhosa e sem propagandas abusivas.
adoro a possibilidade de personalizar os temas do app,Positiva,Gemini,Adoro a possibilidade de personalizar os temas do app.
funcionalidade de busca por voz funciona perfeitamente em português,Positiva,Claude,Funcionalidade de busca por voz funciona perfeitamente em português.
a interface parece confusa e desatualizada,Negativa,ChatGPT,A interface parece confusa e desatualizada.
excelente experiência o design é lindo fácil de navegar e o suporte ao cliente respondeu minhas dúvidas rapidamente,Positiva,Gemini,"Excelente experiência! O design é lindo, fácil de navegar e o suporte ao cliente respondeu minhas dúvidas rapidamente."
a seção de ajuda não tem resposta para os meus problemas,Negativa,Gemini,A seção de ajuda não tem resposta para os meus problemas.
o app não respeita o horário de silêncio configurado,Negativa,Claude,O app não respeita o horário de silêncio configurado.
o aplicativo não tem autenticação de dois fatores inseguro,Negativa,Claude,"O aplicativo não tem autenticação de dois fatores, inseguro."
o aplicativo reinicia sozinho repetidamente,Negativa,ChatGPT,O aplicativo reinicia sozinho repetidamente.
o aplicativo não entrega o que promete,Negativa,ChatGPT,O aplicativo não entrega o que promete.
experiência incrível tudo funciona de maneira simples e eficiente,Positiva,ChatGPT,"Experiência incrível, tudo funciona de maneira simples e eficiente."
alguns aplicativos utilizam reconhecimento facial,Neutra,ChatGPT,Alguns aplicativos utilizam reconhecimento facial.
os usuários podem enviar imagens e vídeos através de aplicativos de mensagens,Neutra,Gemini,Os usuários podem enviar imagens e vídeos através de aplicativos de mensagens.
tornouse um aplicativo de anúncios com um pouco de funcionalidade,Negativa,Gemini,Tornou-se um aplicativo de anúncios com um pouco de funcionalidade.
o calendário integrado não sincroniza com o google calendar,Negativa,Claude,O calendário integrado não sincroniza com o Google Calendar.
aplicativo muito bem desenvolvido e fácil de utilizar,Positiva,ChatGPT,Aplicativo muito bem desenvolvido e fácil de utilizar.
placares de líderes globais classificam a pontuação dos jogadores registrados no aplicativo em tempo real,Neutra,Gemini,Placares de líderes globais classificam a pontuação dos jogadores registrados no aplicativo em tempo real.
as propagandas aparecem até em tarefas simples,Negativa,ChatGPT,As propagandas aparecem até em tarefas simples.
a experiência do usuário foca na facilidade de navegação dentro do aplicativo,Neutra,Gemini,A experiência do usuário foca na facilidade de navegação dentro do aplicativo.
a tela de carregamento gira eternamente e nunca termina,Negativa,Claude,A tela de carregamento gira eternamente e nunca termina.
o leitor de pdf integrado abre arquivos pesados num piscar de olhos,Positiva,Gemini,O leitor de PDF integrado abre arquivos pesados num piscar de olhos.
aplicativo excelente e extremamente estável,Positiva,ChatGPT,Aplicativo excelente e extremamente estável.
experiência fluida do início ao fim sem fricção alguma,Positiva,Claude,"Experiência fluida do início ao fim, sem fricção alguma."
o aplicativo trava sempre que tento editar arquivos,Negativa,ChatGPT,O aplicativo trava sempre que tento editar arquivos.
a qualidade das imagens enviadas é muito ruim,Negativa,ChatGPT,A qualidade das imagens enviadas é muito ruim.
aplicativos de videoconferência permitem reuniões com múltiplos participantes simultâneos,Neutra,Claude,Aplicativos de videoconferência permitem reuniões com múltiplos participantes simultâneos.
baixa vídeos automaticamente e acaba com minha franquia de dados,Negativa,Gemini,Baixa vídeos automaticamente e acaba com minha franquia de dados.
a função de compartilhamento sempre compartilha o link errado,Negativa,Claude,A função de compartilhamento sempre compartilha o link errado.
aplicativo excelente para facilitar tarefas do cotidiano,Positiva,ChatGPT,Aplicativo excelente para facilitar tarefas do cotidiano.
pior aplicativo que já baixei na vida uma perda de tempo,Negativa,Gemini,"Pior aplicativo que já baixei na vida, uma perda de tempo."
o aplicativo apresenta falhas após poucos minutos de uso,Negativa,ChatGPT,O aplicativo apresenta falhas após poucos minutos de uso.
aplicativo muito leve e extremamente funcional,Positiva,ChatGPT,Aplicativo muito leve e extremamente funcional.
o aplicativo demora demais para sincronizar dados,Negativa,ChatGPT,O aplicativo demora demais para sincronizar dados.
o app parou de funcionar de vez só da erro,Negativa,Gemini,"O app parou de funcionar de vez, só da erro."
tem mais propaganda do que conteúdo impossível navegar,Negativa,Gemini,"Tem mais propaganda do que conteúdo, impossível navegar."
do nada a tela fica preta e o app reinicia,Negativa,Gemini,Do nada a tela fica preta e o app reinicia.
o suporte técnico parece ignorar os problemas relatados,Negativa,ChatGPT,O suporte técnico parece ignorar os problemas relatados.
aplicativo muito completo e fácil de configurar,Positiva,ChatGPT,Aplicativo muito completo e fácil de configurar.
o carregamento inicial do aplicativo leva apenas alguns segundos,Positiva,Gemini,O carregamento inicial do aplicativo leva apenas alguns segundos.
aplicativo muito intuitivo e fácil de aprender,Positiva,ChatGPT,Aplicativo muito intuitivo e fácil de aprender.
o aplicativo trava durante transmissões ao vivo,Negativa,ChatGPT,O aplicativo trava durante transmissões ao vivo.
aplicativo completo e muito agradável de usar,Positiva,ChatGPT,Aplicativo completo e muito agradável de usar.
o aplicativo perde conexão durante chamadas de vídeo,Negativa,ChatGPT,O aplicativo perde conexão durante chamadas de vídeo.
nunca perdi dados a sincronização na nuvem é confiável,Positiva,Claude,"Nunca perdi dados, a sincronização na nuvem é confiável."
aplicativos de clima utilizam dados de estações meteorológicas distribuídas globalmente,Neutra,Claude,Aplicativos de clima utilizam dados de estações meteorológicas distribuídas globalmente.
o aplicativo demora muito para enviar mensagens,Negativa,ChatGPT,O aplicativo demora muito para enviar mensagens.
o aplicativo apresenta travamentos constantes em android,Negativa,ChatGPT,O aplicativo apresenta travamentos constantes em Android.
eventos sazonais frequentemente alteram o conteúdo visual e mecânico dos jogos por tempo limitado,Neutra,Gemini,Eventos sazonais frequentemente alteram o conteúdo visual e mecânico dos jogos por tempo limitado.
comprovantes de transação podem ser exportados em formato pdf ou compartilhados como arquivo de imagem,Neutra,Gemini,Comprovantes de transação podem ser exportados em formato PDF ou compartilhados como arquivo de imagem.
aplicativos consomem memória ram do dispositivo durante sua execução,Neutra,Claude,Aplicativos consomem memória RAM do dispositivo durante sua execução.
o ios é o sistema operacional móvel exclusivo dos dispositivos da apple,Neutra,Gemini,O iOS é o sistema operacional móvel exclusivo dos dispositivos da Apple.
o aplicativo perde qualidade após poucos minutos,Negativa,ChatGPT,O aplicativo perde qualidade após poucos minutos.
aplicativos de previdência social permitem consultar extrato e agendamentos,Neutra,Claude,Aplicativos de previdência social permitem consultar extrato e agendamentos.
o aplicativo demora excessivamente para iniciar,Negativa,ChatGPT,O aplicativo demora excessivamente para iniciar.
o app trava especificamente ao tentar realizar pagamentos,Negativa,Claude,O app trava especificamente ao tentar realizar pagamentos.
o aplicativo não funciona corretamente sem wifi,Negativa,ChatGPT,O aplicativo não funciona corretamente sem Wi-Fi.
o aplicativo não atualiza informações em tempo real,Negativa,ChatGPT,O aplicativo não atualiza informações em tempo real.
escondem o botão de fechar a tela de pagamento,Negativa,Gemini,Escondem o botão de fechar a tela de pagamento.
desempenho excepcional mesmo quando uso múltiplos recursos simultaneamente,Positiva,Claude,Desempenho excepcional mesmo quando uso múltiplos recursos simultaneamente.
aplicativo excelente para produtividade e organização,Positiva,ChatGPT,Aplicativo excelente para produtividade e organização.
aplicativo muito útil e eficiente em qualquer momento,Positiva,ChatGPT,Aplicativo muito útil e eficiente em qualquer momento.
aplicativos de viagem exibem horários de voos,Neutra,ChatGPT,Aplicativos de viagem exibem horários de voos.
interface linda e intuitiva naveguei sem dificuldade alguma desde o início,Positiva,Claude,"Interface linda e intuitiva, naveguei sem dificuldade alguma desde o início."
o menu de configurações é um labirinto impossível de navegar,Negativa,Gemini,O menu de configurações é um labirinto impossível de navegar.
cobraram no meu cartão sem minha autorização puro golpe,Negativa,Gemini,"Cobraram no meu cartão sem minha autorização, puro golpe."
gostei bastante da velocidade e estabilidade do app,Positiva,ChatGPT,Gostei bastante da velocidade e estabilidade do app.
simples de instalar e configurar qualquer pessoa consegue usar,Positiva,Claude,"Simples de instalar e configurar, qualquer pessoa consegue usar."
aplicativos de marketplace conectam vendedores e compradores em uma única plataforma,Neutra,Claude,Aplicativos de marketplace conectam vendedores e compradores em uma única plataforma.
a assinatura mensal é absurdamente cara e não vale a pena,Negativa,Gemini,A assinatura mensal é absurdamente cara e não vale a pena.
aplicativos de treino mostram calorias estimadas,Neutra,ChatGPT,Aplicativos de treino mostram calorias estimadas.
as configurações desaparecem após reiniciar o aplicativo,Negativa,ChatGPT,As configurações desaparecem após reiniciar o aplicativo.
gerenciadores de arquivos ajudam a organizar pastas na memória interna do dispositivo,Neutra,Gemini,Gerenciadores de arquivos ajudam a organizar pastas na memória interna do dispositivo.
usa processamento excessivo meu celular parece que vai fritar,Negativa,Gemini,"Usa processamento excessivo, meu celular parece que vai fritar."
alguns aplicativos possuem área de configurações avançadas,Neutra,ChatGPT,Alguns aplicativos possuem área de configurações avançadas.
o suporte só responde com respostas automáticas e genéricas,Negativa,Claude,O suporte só responde com respostas automáticas e genéricas.
as propagandas interrompem o uso constantemente,Negativa,ChatGPT,As propagandas interrompem o uso constantemente.
aplicativos de clima exibem previsão semanal,Neutra,ChatGPT,Aplicativos de clima exibem previsão semanal.
fotos de perfil não carregam aparecem só ícones genéricos,Negativa,Claude,"Fotos de perfil não carregam, aparecem só ícones genéricos."
recomendo para todos os meus amigos sem hesitar,Positiva,Claude,Recomendo para todos os meus amigos sem hesitar.
o aplicativo aquece muito meu celular durante o uso,Negativa,ChatGPT,O aplicativo aquece muito meu celular durante o uso.
aplicativos de culinária oferecem receitas com listas de ingredientes e modo de preparo,Neutra,Claude,Aplicativos de culinária oferecem receitas com listas de ingredientes e modo de preparo.
aplicativos de fotos suportam compartilhamento rápido,Neutra,ChatGPT,Aplicativos de fotos suportam compartilhamento rápido.
aplicativo moderno e muito eficiente nas tarefas,Positiva,ChatGPT,Aplicativo moderno e muito eficiente nas tarefas.
aplicativos de gerenciamento de tarefas listam atividades pendentes e marcadas como concluídas,Neutra,Gemini,Aplicativos de gerenciamento de tarefas listam atividades pendentes e marcadas como concluídas.
aplicativos podem sincronizar dados em segundo plano,Neutra,ChatGPT,Aplicativos podem sincronizar dados em segundo plano.
o aplicativo é tão bom que parece até mágica,Positiva,Gemini,O aplicativo é tão bom que parece até mágica.
aplicativo muito agradável e com ótima navegação,Positiva,ChatGPT,Aplicativo muito agradável e com ótima navegação.
suporte ao cliente resolveu meu problema em menos de cinco minutos,Positiva,Claude,Suporte ao cliente resolveu meu problema em menos de cinco minutos.
aplicativo excelente e extremamente confiável,Positiva,ChatGPT,Aplicativo excelente e extremamente confiável.
a versão gratuita é inutilizável por causa dos anúncios,Negativa,Gemini,A versão gratuita é inutilizável por causa dos anúncios.
o modo de acessibilidade é completamente ignorado pelo app,Negativa,Claude,O modo de acessibilidade é completamente ignorado pelo app.
calculadoras móveis realizam operações matemáticas básicas e funções científicas,Neutra,Gemini,Calculadoras móveis realizam operações matemáticas básicas e funções científicas.
alguns aplicativos funcionam no modo offline após o download inicial de dados,Neutra,Claude,Alguns aplicativos funcionam no modo offline após o download inicial de dados.
o aplicativo reinicia sozinho sem motivo aparente,Negativa,ChatGPT,O aplicativo reinicia sozinho sem motivo aparente.
os ícones do menu não têm legenda impossível adivinhar a função,Negativa,Claude,"Os ícones do menu não têm legenda, impossível adivinhar a função."
aplicativos de saúde podem monitorar frequência cardíaca e passos dados,Neutra,Claude,Aplicativos de saúde podem monitorar frequência cardíaca e passos dados.
o aplicativo não funciona corretamente em telas com entalhe,Negativa,Claude,O aplicativo não funciona corretamente em telas com entalhe.
estou muito satisfeito com a praticidade oferecida pelo app,Positiva,ChatGPT,Estou muito satisfeito com a praticidade oferecida pelo app.
personalização de tema e cores deixa o app com minha cara,Positiva,Claude,Personalização de tema e cores deixa o app com minha cara.
aplicativos de identificação de plantas utilizam inteligência artificial para análise de imagens,Neutra,Claude,Aplicativos de identificação de plantas utilizam inteligência artificial para análise de imagens.
o smiles é um programa de fidelidade com aplicativo para acúmulo de milhas,Neutra,Claude,O Smiles é um programa de fidelidade com aplicativo para acúmulo de milhas.
excelente desempenho sem apresentar travamentos,Positiva,ChatGPT,Excelente desempenho sem apresentar travamentos.
as propagandas aparecem em momentos inconvenientes,Negativa,ChatGPT,As propagandas aparecem em momentos inconvenientes.
aplicativos de comércio eletrônico permitem a compra de produtos físicos pelo celular,Neutra,Gemini,Aplicativos de comércio eletrônico permitem a compra de produtos físicos pelo celular.
assinaturas renováveis são cobradas periodicamente geralmente de forma mensal ou anual,Neutra,Gemini,"Assinaturas renováveis são cobradas periodicamente, geralmente de forma mensal ou anual."
aplicativos de relacionamento utilizam a localização para sugerir perfis próximos,Neutra,Gemini,Aplicativos de relacionamento utilizam a localização para sugerir perfis próximos.
anúncios em vídeo com recompensa oferecem benefícios dentro do aplicativo após a visualização,Neutra,Gemini,Anúncios em vídeo com recompensa oferecem benefícios dentro do aplicativo após a visualização.
sistema de favoritos muito útil para acessar conteúdos preferidos,Positiva,Claude,Sistema de favoritos muito útil para acessar conteúdos preferidos.
o aplicativo congela ao tentar anexar qualquer tipo de arquivo,Negativa,Claude,O aplicativo congela ao tentar anexar qualquer tipo de arquivo.
é o tipo de aplicativo que facilita a vida da gente,Positiva,Gemini,É o tipo de aplicativo que facilita a vida da gente.
profissionais de saúde podem usar aplicativos específicos com criptografia para serviços de telemedicina,Neutra,Gemini,Profissionais de saúde podem usar aplicativos específicos com criptografia para serviços de telemedicina.
o histórico de uso é muito detalhado e fácil de consultar,Positiva,Gemini,O histórico de uso é muito detalhado e fácil de consultar.
widget para tela inicial muito útil e bem desenhado,Positiva,Claude,Widget para tela inicial muito útil e bem desenhado.
aplicativos de petição online coletam assinaturas digitais para causas diversas,Neutra,Claude,Aplicativos de petição online coletam assinaturas digitais para causas diversas.
aplicativo transformou meu hobby em algo mais organizado e produtivo,Positiva,Claude,Aplicativo transformou meu hobby em algo mais organizado e produtivo.
recursos de edição poderosos com interface amigável e acessível,Positiva,Claude,Recursos de edição poderosos com interface amigável e acessível.
o tastemade e o tudogostoso são exemplos de aplicativos de receitas,Neutra,Claude,O Tastemade e o TudoGostoso são exemplos de aplicativos de receitas.
dados ficam seguros e protegidos confio totalmente na plataforma,Positiva,Claude,"Dados ficam seguros e protegidos, confio totalmente na plataforma."
o sleep cycle usa sensores do smartphone para analisar o sono do usuário,Neutra,Claude,O Sleep Cycle usa sensores do smartphone para analisar o sono do usuário.
transições entre telas suaves e rápidas experiência muito polida,Positiva,Claude,"Transições entre telas suaves e rápidas, experiência muito polida."
cores do app cansam os olhos contraste terrível,Negativa,Claude,"Cores do app cansam os olhos, contraste terrível."
recursos colaborativos que facilitaram muito o trabalho em equipe,Positiva,Claude,Recursos colaborativos que facilitaram muito o trabalho em equipe.
até agora não encontrei nenhum defeito neste app,Positiva,Gemini,"Até agora, não encontrei nenhum defeito neste app."
ótimo aplicativo para quem busca praticidade e rapidez,Positiva,ChatGPT,Ótimo aplicativo para quem busca praticidade e rapidez.
o player de áudio não tem nem a opção de pausar,Negativa,Gemini,O player de áudio não tem nem a opção de pausar.
o suporte ao cliente nunca responde minhas solicitações,Negativa,ChatGPT,O suporte ao cliente nunca responde minhas solicitações.
aplicativos podem funcionar em segundo plano,Neutra,ChatGPT,Aplicativos podem funcionar em segundo plano.
app que simplesmente funciona sem complicação nem decepção alguma,Positiva,Claude,"App que simplesmente funciona, sem complicação nem decepção alguma."
funciona perfeitamente offline o que é um grande diferencial,Positiva,Gemini,"Funciona perfeitamente offline, o que é um grande diferencial."
funções premium não funcionam mesmo após pagamento confirmado,Negativa,Claude,Funções premium não funcionam mesmo após pagamento confirmado.
alguns aplicativos oferecem login sem senha,Neutra,ChatGPT,Alguns aplicativos oferecem login sem senha.
alguns aplicativos possuem recursos premium,Neutra,ChatGPT,Alguns aplicativos possuem recursos premium.
aplicativo excelente para organizar tarefas e compromissos,Positiva,ChatGPT,Aplicativo excelente para organizar tarefas e compromissos.
aplicativos podem compartilhar dados entre serviços,Neutra,ChatGPT,Aplicativos podem compartilhar dados entre serviços.
recibos digitais são enviados para o email do usuário após compras no aplicativo,Neutra,Gemini,Recibos digitais são enviados para o e-mail do usuário após compras no aplicativo.
aplicativos de identificação de animais permitem reconhecer espécies pela fotografia,Neutra,Claude,Aplicativos de identificação de animais permitem reconhecer espécies pela fotografia.
a política de privacidade não está disponível em português,Negativa,Claude,A política de privacidade não está disponível em português.
jogos multijogador online exigem conexão constante com a internet para sincronização dos dados,Neutra,Gemini,Jogos multijogador online exigem conexão constante com a internet para sincronização dos dados.
fecha sozinho e perco todo o progresso que fiz,Negativa,Gemini,Fecha sozinho e perco todo o progresso que fiz.
o design responsivo se adapta perfeitamente ao meu tablet,Positiva,Gemini,O design responsivo se adapta perfeitamente ao meu tablet.
alguns aplicativos utilizam inteligência artificial,Neutra,ChatGPT,Alguns aplicativos utilizam inteligência artificial.
aplicativo intuitivo e muito fácil de configurar,Positiva,ChatGPT,Aplicativo intuitivo e muito fácil de configurar.
a interface parece poluída e cansativa,Negativa,ChatGPT,A interface parece poluída e cansativa.
simplesmente brilhante um exemplo de perfeição em formato de aplicativo,Positiva,Gemini,"Simplesmente brilhante, um exemplo de perfeição em formato de aplicativo."
desempenho impecável mesmo no meu celular mais antigo,Positiva,Gemini,Desempenho impecável mesmo no meu celular mais antigo.
ótima experiência com recursos úteis e simples,Positiva,ChatGPT,Ótima experiência com recursos úteis e simples.
o aplicativo não funciona em tablets layout completamente quebrado,Negativa,Claude,"O aplicativo não funciona em tablets, layout completamente quebrado."
recomendações algorítmicas sugerem novos conteúdos com base no histórico de uso do aplicativo,Neutra,Gemini,Recomendações algorítmicas sugerem novos conteúdos com base no histórico de uso do aplicativo.
aplicativos de streaming permitem download temporário,Neutra,ChatGPT,Aplicativos de streaming permitem download temporário.
os erros aparecem com frequência durante tarefas simples,Negativa,ChatGPT,Os erros aparecem com frequência durante tarefas simples.
o melhor design de interface do usuário que já experimentei,Positiva,Gemini,O melhor design de interface do usuário que já experimentei.
aplicativos de vídeo exibem recomendações automáticas,Neutra,ChatGPT,Aplicativos de vídeo exibem recomendações automáticas.
feedback háptico bem calibrado resposta tátil muito agradável,Positiva,Claude,"Feedback háptico bem calibrado, resposta tátil muito agradável."
plataformas de streaming de filmes exigem conexão de rede para reprodução contínua,Neutra,Gemini,Plataformas de streaming de filmes exigem conexão de rede para reprodução contínua.
o recurso de zoom não funciona nas imagens dos produtos,Negativa,Claude,O recurso de zoom não funciona nas imagens dos produtos.
a leitura do código de barras usando a câmera facilita o pagamento de boletos no aplicativo,Neutra,Gemini,A leitura do código de barras usando a câmera facilita o pagamento de boletos no aplicativo.
as notificações personalizadas chegam sempre no momento certo,Positiva,Gemini,As notificações personalizadas chegam sempre no momento certo.
o layout fica cortado na tela do meu aparelho,Negativa,Gemini,O layout fica cortado na tela do meu aparelho.
avaliações e comentários são apagados sem motivo aparente,Negativa,Claude,Avaliações e comentários são apagados sem motivo aparente.
não consigo enviar mais de uma foto por vez horrível,Negativa,Gemini,"Não consigo enviar mais de uma foto por vez, horrível."
o sistema de autenticação falha frequentemente,Negativa,ChatGPT,O sistema de autenticação falha frequentemente.
aplicativos de jogos casuais geralmente possuem controles virtuais baseados em toques simples na tela,Neutra,Gemini,Aplicativos de jogos casuais geralmente possuem controles virtuais baseados em toques simples na tela.
aplicativos da web progressivos rodam no navegador do dispositivo móvel,Neutra,Gemini,Aplicativos da web progressivos rodam no navegador do dispositivo móvel.
o aplicativo não tem opção de desativar animações,Negativa,Claude,O aplicativo não tem opção de desativar animações.
os aplicativos de armazenamento em nuvem permitem o upload e download remoto de arquivos,Neutra,Gemini,Os aplicativos de armazenamento em nuvem permitem o upload e download remoto de arquivos.
aplicativos bancários oferecem acesso a contas digitais,Neutra,ChatGPT,Aplicativos bancários oferecem acesso a contas digitais.
a poluição visual com tantos banners é ridícula,Negativa,Gemini,A poluição visual com tantos banners é ridícula.
gráficos de desempenho mostram dados incorretos e confusos,Negativa,Claude,Gráficos de desempenho mostram dados incorretos e confusos.
modo escuro lindo uso à noite sem cansar a vista,Positiva,Claude,"Modo escuro lindo, uso à noite sem cansar a vista."
